ENTREZID	Symbol
10233	LRRC23
10234	LRRC17
10235	RASGRP2
10236	HNRNPR
10237	SLC35B1
10238	DCAF7
1024	CDK8
10240	MRPS31
10241	CALCOCO2
10242	KCNMB2
10243	GPHN
10244	RABEPK
10245	TIMM17B
10246	SLC17A2
10247	HRSP12
10248	POP7
10249	GLYAT
1025	CDK9
10250	SRRM1
10251	SPRY3
10252	SPRY1
10253	SPRY2
10254	STAM2
10255	HCG9
10256	CNKSR1
10257	ABCC4
1026	CDKN1A
10260	DENND4A
10261	IGSF6
10262	SF3B4
10263	CDK2AP2
10265	IRX5
10266	RAMP2
10267	RAMP1
10268	RAMP3
10269	ZMPSTE24
1027	CDKN1B
10270	AKAP8
10272	FSTL3
10273	STUB1
10274	STAG1
10276	NET1
10277	UBE4B
10278	EFS
10279	PRSS16
1028	CDKN1C
10280	SIGMAR1
10281	DSCR4
10282	BET1
10283	CWC27
10284	SAP18
10285	SMNDC1
10286	BCAS2
10287	RGS19
10288	LILRB2
10289	EIF1B
1029	CDKN2A
10290	SPEG
10291	SF3A1
10293	TRAIP
10294	DNAJA2
10295	BCKDK
10296	MAEA
10297	APC2
10298	PAK4
10299	March 6
103	ADAR
1030	CDKN2B
10300	KATNB1
10301	DLEU1
10302	SNAPC5
10307	APBB3
10308	ZNF267
10309	CCNO
1031	CDKN2C
10311	DSCR3
10312	TCIRG1
10313	RTN3
10314	LANCL1
10316	NMUR1
10317	B3GALT5
10318	TNIP1
10319	LAMC3
1032	CDKN2D
10320	IKZF1
10321	CRISP3
10322	SMYD5
10324	KBTBD10
10325	RRAGB
10326	SIRPB1
10327	AKR1A1
10328	COX4NB
10329	TMEM5
1033	CDKN3
10330	CNPY2
10331	B3GNT3
10332	CLEC4M
10333	TLR6
10335	MRVI1
10336	PCGF3
10342	TFG
10343	PKDREJ
10344	CCL26
10345	TRDN
10346	TRIM22
10347	ABCA7
10349	ABCA10
10350	ABCA9
10351	ABCA8
10352	WARS2
1036	CDO1
10360	NPM3
10361	NPM2
10362	HMG20B
10363	HMG20A
10365	KLF2
10367	CBARA1
10368	CACNG3
10369	CACNG2
10370	CITED2
10371	SEMA3A
10376	TUBA1B
10379	IRF9
1038	CDR1
10380	BPNT1
10381	TUBB3
10382	TUBB4
10383	TUBB2C
10384	BTN3A3
10385	BTN2A2
10388	SYCP2
10389	SCML2
1039	CDR2
10390	CEPT1
10391	CORO2B
103910	MYL12B
10392	NOD1
10393	ANAPC10
10394	PRG3
10395	DLC1
10396	ATP8A1
10397	NDRG1
10398	MYL9
10399	GNB2L1
104	ADARB1
1040	CDS1
10400	PEMT
10401	PIAS3
10402	ST3GAL6
10403	NDC80
10404	PGCP
10406	WFDC2
10409	BASP1
1041	CDSN
10410	IFITM3
10411	RAPGEF3
10413	YAP1
10417	SPON2
10418	SPON1
10419	PRMT5
10420	TESK2
10421	CD2BP2
10422	UBAC1
10423	CDIPT
10424	PGRMC2
10425	ARIH2
10426	TUBGCP3
10427	SEC24B
10428	CFDP1
1043	CD52
10430	TMEM147
10432	RBM14
10435	CDC42EP2
10436	EMG1
10437	IFI30
10438	C1D
10439	OLFM1
1044	CDX1
10440	TIMM17A
10443	N4BP2L2
10444	ZER1
10445	MCRS1
10446	LRRN2
1045	CDX2
10450	PPIE
10451	VAV3
10452	TOMM40
10454	TAB1
10455	PECI
10456	HAX1
10457	GPNMB
10458	BAIAP2
10459	MAD2L2
1046	CDX4
10460	TACC3
10461	MERTK
10462	CLEC10A
10463	SLC30A9
10464	PIBF1
10465	PPIH
10466	COG5
10467	ZNHIT1
10468	FST
10469	TIMM44
1047	CLGN
10471	PFDN6
10472	ZNF238
10473	HMGN4
10474	TADA3
10475	TRIM38
10477	UBE2E3
10478	SLC25A17
10479	SLC9A6
1048	CEACAM5
10480	EIF3M
10481	HOXB13
10482	NXF1
10483	SEC23B
10484	SEC23A
10485	C1orf61
10486	CAP2
10487	CAP1
10488	CREB3
10489	LRRC41
10490	VTI1B
10491	CRTAP
10492	SYNCRIP
10493	VAT1
10494	STK25
10495	ENOX2
10497	UNC13B
10498	CARM1
10499	NCOA2
105	ADARB2
1050	CEBPA
10500	SEMA6C
10501	SEMA6B
10505	SEMA4F
10507	SEMA4D
10509	SEMA4B
1051	CEBPB
10512	SEMA3C
10513	APPBP2
10514	MYBBP1A
10516	FBLN5
10518	CIB2
10519	CIB1
1052	CEBPD
10520	ZNF211
10521	DDX17
10522	DEAF1
10523	CHERP
10524	KAT5
10525	HYOU1
10526	IPO8
10527	IPO7
10528	NOP56
10529	NEBL
1053	CEBPE
10531	PITRM1
10533	ATG7
10534	SSSCA1
10535	RNASEH2A
10536	LEPREL2
10538	BATF
1054	CEBPG
10540	DCTN2
10541	ANP32B
10542	HBXIP
10544	PROCR
10548	TM9SF1
10549	PRDX4
10550	ARL6IP5
10551	AGR2
10553	HTATIP2
10554	AGPAT1
10555	AGPAT2
10556	RPP30
10557	RPP38
10558	SPTLC1
10559	SLC35A1
1056	CEL
10560	SLC19A2
10561	IFI44
10562	OLFM4
10563	CXCL13
10564	ARFGEF2
10565	ARFGEF1
10566	AKAP3
10567	RABAC1
10568	SLC34A2
10569	SLU7
10570	DPYSL4
10572	SIVA1
10573	MRPL28
10574	CCT7
10575	CCT4
10576	CCT2
10577	NPC2
10578	GNLY
10579	TACC2
1058	CENPA
10580	SORBS1
10581	IFITM2
10584	COLEC10
10585	POMT1
10586	MAB21L2
10587	TXNRD2
10589	DRAP1
1059	CENPB
10590	SCGN
10591	C6orf108
10592	SMC2
10594	PRPF8
10595	ERN2
10598	AHSA1
10599	SLCO1B1
1060	CENPC1
10600	USP16
10602	CDC42EP3
10603	SH2B2
10605	PAIP1
10606	PAICS
10607	TBL3
10608	MXD4
10609	SC65
10610	ST6GALNAC2
10611	PDLIM5
10612	TRIM3
10613	ERLIN1
10614	HEXIM1
10615	SPAG5
10616	RBCK1
10617	STAMBP
10618	TGOLN2
1062	CENPE
10620	ARID3B
10621	POLR3F
10622	POLR3G
10623	POLR3C
10625	IVNS1ABP
10627	MYL12A
10628	TXNIP
10629	TAF6L
1063	CENPF
10630	PDPN
10631	POSTN
10632	ATP5L
10633	RASL10A
10634	GAS2L1
10635	RAD51AP1
10636	RGS14
10637	LEFTY1
10640	EXOC5
10641	NPRL2
10642	IGF2BP1
10643	IGF2BP3
10644	IGF2BP2
10645	CAMKK2
10647	SCGB1D2
10648	SCGB1D1
10650	SLMO1
10651	MTX2
10652	YKT6
10653	SPINT2
10654	PMVK
10655	DMRT2
10656	KHDRBS3
10657	KHDRBS1
10658	CELF1
10659	CELF2
10660	LBX1
10661	KLF1
10663	CXCR6
10664	CTCF
10665	C6orf10
10666	CD226
10667	FARS2
10668	CGRRF1
10669	CGREF1
10670	RRAGA
10671	DCTN6
10672	GNA13
10673	TNFSF13B
10675	CSPG5
10677	AVIL
10678	B3GNT2
1068	CETN1
10681	GNB5
10682	EBP
10683	DLL3
10686	CLDN16
10687	PNMA2
1069	CETN2
10690	FUT9
10691	GMEB1
10692	RRH
10693	CCT6B
10694	CCT8
10695	CNPY3
10699	CORIN
107	ADCY1
1070	CETN3
1071	CETP
10712	FAM189B
10713	USP39
10714	POLD3
10715	LASS1
10716	TBR1
10717	AP4B1
10718	NRG3
1072	CFL1
10720	UGT2B11
10721	POLQ
10723	SLC12A7
10724	MGEA5
10725	NFAT5
10726	NUDC
10728	PTGES3
1073	CFL2
10730	YME1L1
10732	TCFL5
10733	PLK4
10734	STAG3
10735	STAG2
10736	SIX2
10739	RFPL2
10741	RBBP9
10742	RAI2
10743	RAI1
10745	PHTF1
10746	MAP3K2
10747	MASP2
10748	KLRA1
10749	KIF1C
1075	CTSC
10750	GRAP
10752	CHL1
10753	CAPN9
10755	GIPC1
10758	TRAF3IP2
10761	PLAC1
10762	NUP50
10763	NES
10765	KDM5B
10766	TOB2
10767	HBS1L
10768	AHCYL1
10769	PLK2
10771	ZMYND11
10772	SFRS13A
10773	ZBTB6
10775	POP4
10776	ARPP19
10777	ARPP21
10778	ZNF271
10780	ZNF234
10781	ZNF266
10782	ZNF274
10783	NEK6
10785	WDR4
10786	SLC17A3
10787	NCKAP1
10788	IQGAP2
10791	VAMP5
10793	ZNF273
10794	ZNF460
10795	ZNF268
10797	MTHFD2
10798	OR5I1
10799	RPP40
108	ADCY2
1080	CFTR
10800	CYSLTR1
10801	Septin 9
10802	SEC24A
10803	CCR9
10804	GJB6
10806	SDCCAG8
10807	SDCCAG3
10808	HSPH1
10809	STARD10
1081	CGA
10810	WASF3
10811	NOXA1
10813	UTP14A
10814	CPLX2
10815	CPLX1
10816	SPINT3
10817	FRS3
10818	FRS2
10825	NEU3
10826	C5orf4
10827	FAM114A2
10838	ZNF275
1084	CEACAM3
10840	ALDH1L1
10841	FTCD
10842	C7orf16
10844	TUBGCP2
10845	CLPX
10846	PDE10A
10847	SRCAP
10848	PPP1R13L
10849	CD3EAP
10850	CCL27
10855	HPSE
10856	RUVBL2
10857	PGRMC1
10858	CYP46A1
10859	LILRB1
10861	SLC26A1
10863	ADAM28
10864	SLC22A7
10865	ARID5A
10866	HCP5
10867	TSPAN9
10868	USP20
10869	USP19
1087	CEACAM7
10870	HCST
10871	CD300C
10873	ME3
10874	NMU
10875	FGL2
10876	EDDM3A
10877	CFHR4
10878	CFHR3
1088	CEACAM8
10880	ACTL7B
10881	ACTL7A
10882	C1QL1
10884	MRPS30
10885	WDR3
10886	NPFFR2
10887	PROKR1
10888	GPR83
1089	CEACAM4
10890	RAB10
10891	PPARGC1A
10892	MALT1
10893	MMP24
10894	LYVE1
10895	PPBPL2
10897	YIF1A
10898	CPSF4
10899	JTB
109	ADCY3
10900	RUNDC3A
10902	BRD8
10903	MTMR11
10904	BLCAP
10905	MAN1A2
10906	TRAFD1
10907	TXNL4A
10908	PNPLA6
10910	SUGT1
10911	UTS2
10912	GADD45G
10913	EDAR
10914	PAPOLA
10915	TCERG1
10916	MAGED2
10917	BTNL3
10919	EHMT2
10920	COPS8
10921	RNPS1
10922	FASTK
10923	SUB1
10924	SMPDL3A
10926	DBF4
10927	SPIN1
10928	RALBP1
10929	SFRS2B
10930	APOBEC2
10933	MORF4L1
10935	PRDX3
10936	GPR75
10938	EHD1
10939	AFG3L2
10940	POP1
10942	PRSS21
10943	MSL3
10944	C11orf58
10945	KDELR1
10946	SF3A3
10947	AP3M2
10948	STARD3
10949	HNRNPA0
10950	BTG3
10951	CBX1
10952	SEC61B
10953	TOMM34
10954	PDIA5
10955	SERINC3
10956	OS9
10957	PNRC1
10959	TMED2
10960	LMAN2
10961	ERP29
10962	MLLT11
10963	STIP1
10964	IFI44L
10966	RAB40B
10969	EBNA1BP2
10970	CKAP4
10971	YWHAQ
10972	TMED10
10973	ASCC3
10975	UQCR11
10978	CLP1
10979	FERMT2
10980	COPS6
10981	RAB32
10982	MAPRE2
10983	CCNI
10984	KCNQ1OT1
10985	GCN1L1
10987	COPS5
10988	METAP2
10989	IMMT
10990	LILRB5
10991	SLC38A3
10992	SF3B2
10993	SDS
10994	ILVBL
10998	SLC27A5
10999	SLC27A4
11000	SLC27A3
11001	SLC27A2
11004	KIF2C
11005	SPINK5
11006	LILRB4
11007	CCDC85B
11009	IL24
1101	CHAD
11010	GLIPR1
11011	TLK2
11012	KLK11
11013	TMSB15A
11014	KDELR2
11015	KDELR3
11016	ATF7
11017	SNRNP27
11018	TMED1
11019	LIAS
1102	RCBTB2
11020	IFT27
11021	RAB35
11022	TDRKH
11023	VAX1
11024	LILRA1
11025	LILRB3
11027	LILRA2
1103	CHAT
11030	RBPMS
11031	RAB31
11033	ADAP1
11034	DSTN
11035	RIPK3
11037	STON1
11040	PIM2
11041	B3GNT1
11043	MID2
11044	PAPD7
11045	UPK1A
11046	SLC35D2
11047	ADRM1
1105	CHD1
11051	NUDT21
11052	CPSF6
11054	OGFR
11055	ZPBP
11056	DDX52
11057	ABHD2
11059	WWP1
1106	CHD2
11060	WWP2
11061	LECT1
11062	DUS4L
11063	SOX30
11064	CEP110
11065	UBE2C
11066	SNRNP35
11067	C10orf10
11068	CYB561D2
11069	RAPGEF4
1107	CHD3
11070	TMEM115
11072	DUSP14
11073	TOPBP1
11074	TRIM31
11075	STMN2
11076	TPPP
11078	TRIOBP
11079	RER1
1108	CHD4
11080	DNAJB4
11081	KERA
11082	ESM1
11083	DIDO1
11085	ADAM30
11086	ADAM29
1109	AKR1C4
11091	WDR5
11092	C9orf9
11093	ADAMTS13
11094	C9orf7
11095	ADAMTS8
11096	ADAMTS5
11097	NUPL2
11098	PRSS23
11099	PTPN21
111	ADCY5
11100	HNRNPUL1
11101	ATE1
11103	KRR1
11104	KATNA1
11105	PRDM7
11107	PRDM5
11108	PRDM4
1111	CHEK1
11112	HIBADH
11113	CIT
11116	FGFR1OP
11117	EMILIN1
11118	BTN3A2
11119	BTN3A1
1112	FOXN3
11120	BTN2A1
11122	PTPRT
11123	RCAN3
11124	FAF1
11126	CD160
11127	KIF3A
11128	POLR3A
11129	SFRS16
1113	CHGA
11130	ZWINT
11131	CAPN11
11132	CAPN10
11133	KPTN
11135	CDC42EP1
11136	SLC7A9
11137	PWP1
11138	TBC1D8
1114	CHGB
11140	CDC37
11141	IL1RAPL1
11142	PKIG
11143	MYST2
11144	DMC1
11145	PLA2G16
11146	GLMN
11147	HHLA3
11148	HHLA2
11149	BVES
11151	CORO1A
11152	WDR45
11153	FICD
11154	AP4S1
11155	LDB3
11156	PTP4A3
11157	LSM6
11158	RABL2B
11159	RABL2A
1116	CHI3L1
11160	ERLIN2
11161	C14orf1
11162	NUDT6
11163	NUDT4
11164	NUDT5
11166	SOX21
11167	FSTL1
11168	PSIP1
11169	WDHD1
1117	CHI3L2
11170	FAM107A
11171	STRAP
11172	INSL6
11173	ADAMTS7
11174	ADAMTS6
11176	BAZ2A
11177	BAZ1A
11178	LZTS1
11179	ZNF277
1118	CHIT1
11180	WDR6
11181	TREH
11182	SLC2A6
11183	MAP4K5
11184	MAP4K1
11185	INMT
11186	RASSF1
11187	PKP3
11188	NISCH
11189	CELF3
1119	CHKA
11190	CEP250
11193	WBP4
11194	ABCB8
11196	SEC23IP
11197	WIF1
11198	SUPT16H
11199	ANXA10
112	ADCY6
11200	CHEK2
11201	POLI
11202	KLK8
1121	CHM
11211	FZD10
11212	PROSC
11213	IRAK3
11214	AKAP13
11215	AKAP11
11216	AKAP10
11218	DDX20
11219	TREX2
11221	DUSP10
11222	MRPL3
11224	RPL35
11226	GALNT6
11227	GALNT5
11228	RASSF8
1123	CHN1
11230	PRAF2
11231	SEC63
11232	POLG2
11234	HPS5
11235	PDCD10
11236	RNF139
11237	RNF24
112399	EGLN3
1124	CHN2
11240	PADI2
112401	BIRC8
11243	PMF1
11244	ZHX1
11245	GPR176
112464	PRKCDBP
11247	NXPH4
112476	PRRT2
112479	ERI2
11248	NXPH3
112483	SAT2
112487	C14orf126
11249	NXPH2
11250	GPR45
11251	GPR44
11252	PACSIN2
11253	MAN1B1
11254	SLC6A14
11255	HRH3
11257	TP53TG1
112574	SNX18
11258	DCTN3
11259	FILIP1L
11260	XPOT
112609	MRAP2
11261	CHP
112611	RWDD2A
112616	CMTM7
11262	SP140
11264	PXMP4
11266	DUSP12
11267	SNF8
11269	DDX19B
11270	NRM
112703	FAM71E1
112714	TUBA3E
11272	PRR4
112724	RDH13
11273	ATXN2L
112744	IL17F
11275	KLHL2
112752	C14orf179
112755	STX1B
11276	SYNRG
112770	C1orf85
11278	KLF12
11279	KLF8
1128	CHRM1
11280	SCN11A
112802	KRT71
11281	POU6F2
112812	FDX1L
112817	DHDPSL
11282	MGAT4B
11283	CYP4F8
11284	PNKP
112840	WDR89
112849	C14orf149
11285	B4GALT7
112858	TP53RK
112869	CCDC101
112885	PHF21B
1129	CHRM2
112936	VPS26B
112937	GLB1L3
112939	NACC1
112942	CCDC104
112950	MED8
113	ADCY7
1130	LYST
113000	RPUSD1
113026	PLCD3
11309	SLCO2B1
113091	PTH2
1131	CHRM3
11311	VPS45
113115	FAM54A
11313	LYPLA2
113130	CDCA5
11314	CD300A
113146	AHNAK2
11315	PARK7
11316	COPE
11317	RBPJL
113174	SAAL1
113177	C19orf36
113178	SCAMP4
113179	ADAT3
11318	GPR182
113189	CHST14
11319	ECD
1132	CHRM4
11320	MGAT4A
113201	CASC4
11321	GPN1
11322	TMC6
113220	KIF12
113235	SLC46A1
113246	C12orf57
11325	DDX42
113251	LARP4
11326	VSIG4
113263	GLCCI1
113277	TMEM106A
113278	C20orf54
11328	FKBP9
11329	STK38
1133	CHRM5
11330	CTRC
11331	PHB2
11332	ACOT7
11333	PDAP1
11334	TUSC2
11335	CBX3
11336	EXOC3
11337	GABARAP
11338	U2AF2
11339	OIP5
1134	CHRNA1
11340	EXOSC8
113402	SFT2D1
11341	SCRG1
113419	TEX261
11342	RNF13
11343	MGLL
11344	TWF2
113444	C1orf212
11345	GABARAPL2
113451	ADC
113452	TMEM54
11346	SYNPO
1135	CHRNA2
113510	HELQ
1136	CHRNA3
113612	CYP2U1
113622	ADPRHL1
113655	MFSD3
113675	SDSL
1137	CHRNA4
113730	KLHDC7B
113746	ODF3
113763	C7orf29
113791	PIK3IP1
1138	CHRNA5
113802	C1orf59
113828	FAM83F
113829	SLC35A4
113835	ZNF257
113878	DTX2
114	ADCY8
1140	CHRNB1
114026	ZIM3
114034	TOE1
114036	C21orf82
114041	C21orf88
114042	C21orf89
114043	C21orf90
114044	MCM3APAS
114049	WBSCR22
114088	TRIM9
1141	CHRNB2
114112	TXNRD3
114131	UCN3
114132	SIGLEC11
114134	SLC2A13
1142	CHRNB3
114294	LACTB
1143	CHRNB4
114327	EFHC1
114335	CGB1
1144	CHRND
1145	CHRNE
114548	NLRP3
114569	MAL2
114571	SLC22A9
114599	SNORD15B
1146	CHRNG
114609	TIRAP
114625	ERMAP
1147	CHUK
114757	CYGB
114769	CARD16
114770	PGLYRP2
114771	PGLYRP3
114780	PKD1L2
114781	BTBD9
114783	LMTK3
114784	CSMD2
114785	MBD6
114786	XKR4
114787	GPRIN1
114788	CSMD3
114789	SLC25A25
114790	STK11IP
114791	TUBGCP5
114792	KLHL32
114793	FMNL2
114794	ELFN2
114795	TMEM132B
114798	SLITRK1
114799	ESCO1
114800	CCDC85A
114801	TMEM200A
114803	MYSM1
114804	RNF157
114805	GALNT13
114814	GNRHR2
114815	SORCS1
114821	SCAND3
114822	RHPN1
114823	LENG8
114824	PNMA5
114825	PWWP2A
114826	SMYD4
114827	FHAD1
114836	SLAMF6
114876	OSBPL1A
114879	OSBPL5
114880	OSBPL6
114881	OSBPL7
114882	OSBPL8
114883	OSBPL9
114884	OSBPL10
114885	OSBPL11
114897	C1QTNF1
114898	C1QTNF2
114899	C1QTNF3
1149	CIDEA
114900	C1QTNF4
114904	C1QTNF6
114905	C1QTNF7
114907	FBXO32
114908	TMEM123
114915	NCRNA00219
114926	C8orf40
114932	MRFAP1L1
114960	TSGA13
114971	PTPMT1
114984	FLYWCH2
114987	WDR31
114990	VASN
114991	ZNF618
115	ADCY9
115004	C6orf150
115019	SLC26A9
115024	NT5C3L
115098	CCDC124
115106	HAUS1
115111	SLC26A7
115123	March 3
115196	ZNF554
1152	CKB
115201	ATG4A
115207	KCTD12
115209	OMA1
115265	DDIT4L
115273	RAB42
115286	SLC25A26
115294	PCMTD1
1153	CIRBP
115330	GPR146
115350	FCRL1
115352	FCRL3
115353	LRRC42
115361	GBP4
115362	GBP5
115399	LRRC56
1154	CISH
115416	C7orf30
115426	UHRF2
1155	TBCB
115509	ZNF689
115548	FCHO2
115557	GEFT
115560	ZNF501
115572	FAM46B
115584	SLC5A11
115650	TNFRSF13C
115677	NOSTRIN
115701	ALPK2
115703	ARHGAP33
115704	EVI5L
115708	TRMT61A
115727	RASGRP4
115749	C12orf56
115752	DIS3L
115761	ARL11
115795	C3orf24
1158	CKM
115811	IQCD
115817	DHRS1
115825	WDFY2
115827	RAB3C
115861	NXNL1
1159	CKMT1B
115908	CTHRC1
115939	C16orf42
115948	CCDC151
115950	ZNF653
115992	RNF166
116	ADCYAP1
1160	CKMT2
116028	C16orf75
116039	OSR2
116064	LRRC58
116068	LYSMD3
116071	BATF2
116085	SLC22A12
116092	DNTTIP1
116093	DIRC1
1161	ERCC8
116113	FOXP4
116115	ZNF526
116135	LRRC3B
116138	KLHDC3
116143	WDR92
116150	NUS1
116151	C20orf108
116154	PHACTR3
116159	CYYR1
116173	CMTM5
116179	TGM7
116224	FAM122A
116225	ZMYND19
116228	FAM36A
116236	ABHD15
116238	TLCD1
116254	C6orf72
116255	MOGAT1
116285	ACSM1
116328	C8orf34
116337	PANX3
116349	C5orf55
116362	RBP7
116369	SLC26A8
116372	LYPD1
116379	IL22RA2
1164	CKS2
116412	ZNF837
116441	TM4SF18
116442	RAB39B
116443	GRIN3A
116444	GRIN3B
116447	TOP1MT
116448	OLIG1
116449	CLNK
116461	TSEN15
116496	FAM129A
116511	MAS1L
116512	MRGPRD
116519	APOA5
116534	MRGPRE
116535	MRGPRF
116541	MRPL54
116729	DYSFIP1
116832	RPL39L
116835	HSPA12B
116840	CNTROB
116841	SNAP47
116842	LEAP2
116843	C6orf192
116844	LRG1
116931	MED12L
116966	WDR17
116969	ART5
116983	ACAP3
116984	ARAP2
116985	ARAP1
116986	AGAP2
116987	AGAP1
116988	AGAP3
117	ADCYAP1R1
